"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"1093",100733,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100733","AISB","Antiga e Iluminada Sociedade Banksiana","2015 - 2018",70000,"Sociedade Civil","2015 - 2018"
"1094",100735,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100735","MPV47109","altera as leis 2.440, de 14 de março de 1997, e 9.826, de 23 de agosto de 1999, que estabelecem incentivos fiscais para o desenvolvimento regional.","MPV47109",9,"Comissão Medida Provisória","MPV47109"
"1095",100736,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100736","ABL","Associação Brasil Legal","",70000,"Sociedade Civil",""
"1096",100737,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100737","ASDOOR","Associação das Empresas de Outdoor do Interior de Minas Gerais","",70000,"Sociedade Civil",""
"1097",100738,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100738","MPV47209","Institui o Regime Especial de Incentivos para o Desenvolvimento de Infraestrutura da Indústria Petrolífera nas Regiões Norte, Nordeste e Centro-Oeste - REPENEC; cria o Programa Um Computador por Aluno - PROUCA e institui o Regime Especial de Aquisição de Computadores para uso Educacional - RECOMPE; prorroga benefícios fiscais; constitui fonte de recursos adicional aos agentes financeiros do Fundo da Marinha Mercante - FMM para financiamentos de projetos aprovados pelo Conselho Diretor do Fundo da Marinha Mercante - CDFMM; dispõe sobre a Letra Financeira e o Certificado de Operações Estruturadas; altera a redação da Lei no 11.948, de 16 de junho de 2009; ajusta o Programa Minha Casa Minha Vida - PMCMV; e dá outras providências.","MPV47209",9,"Comissão Medida Provisória","MPV47209"
"1098",100739,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100739","MPV47309","Abre crédito extraordinário, em favor dos Ministérios da Agricultura, Pecuária e Abastecimento, da Educação, da Saúde, dos Transportes e da Integração Nacional, no valor global de R$ 742.000.000,00, para os fins que especifica.","MPV47309",9,"Comissão Medida Provisória","MPV47309"
"1099",100740,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100740","SINDECOF","Sindicato dos Empregados em Conselhos e Ordens de Fiscalização Profissional e Entidades Coligadas e Afins do Distrito Federal","",70000,"Sociedade Civil",""
"1100",100741,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100741","MPV47409","","MPV47409",9,"Comissão Medida Provisória","MPV47409"
"1101",100742,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100742","MPV47509","dispõe sobre o reajuste dos benefícios mantidos pela Previdência Social em 2010 e 2011.","MPV47509",9,"Comissão Medida Provisória","MPV47509"
"1102",100743,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100743","MPV47609","dispõe sobre cencessão de IPI na aquisição de resíduos sólidos.","MPV47609",9,"Comissão Medida Provisória","MPV47609"
"1103",100744,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100744","MPV47709","(dispõe sobre a política do salário mínimo).","MPV47709",9,"Comissão Medida Provisória","MPV47709"
"1104",100745,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100745","MPV47809","Dispõe sobre a extinção da Apólice do Seguro Habitacional do Sistema Financeiro da Habitação - SH/SFH, altera a legislação tributária relativamente às regras de preços de transferência, e dá outras providências.","MPV47809",9,"Comissão Medida Provisória","MPV47809"
"1105",100746,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100746","MPV47909","Dispõe sobre o prazo para formalizar a opção para integrar o Plano de Carreiras e Cargos de Ciência, Tecnologia, Produção e Inovação em Saúde Pública, de que trata o art. 28-A da Lei no 11.355, de 19 de outubro de 2006; a Gratificação de Qualificação - GQ, de que tratam as Leis nos 11.355, de 2006, e 11.907, de 2 de fevereiro de 2009; as tabelas da Gratificação de Desempenho de Atividade de Ciência, Tecnologia, Produção e Inovação em Saúde Pública - GDACTSP, de que trata a Lei no 11.355, de 2006; o Plano de Carreiras e Cargos do IPEA, de que trata a Lei no 11.890, de 24 de dezembro de 2008; a Carreira de Perito Médico Previdenciário e a Carreira de Supervisor Médico-Pericial, de que trata a Lei no 11.907, de 2009; as Carreiras da Área Penitenciária Federal, de que trata a Lei no 11.907, de","MPV47909",9,"Comissão Medida Provisória","MPV47909"
"1106",100747,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100747","MPV48010","Abre crédito extraordinário, em favor da Presidência da República, dos Ministérios da Agricultura, Pecuária e Abastecimento, das Relações Exteriores, da Saúde, da Defesa, da Integração Nacional e das Cidades, e de Transferências a Estados, Distrito Federal e Municípios, no valor global de R$ 1.374.057.000,00, para os fins que especifica.","MPV48010",9,"Comissão Medida Provisória","MPV48010"
"1107",100748,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100748","MPV48110","Autoriza o Poder Executivo a doar estoques públicos de alimentos para assistência humanitária internacional.","MPV48110",9,"Comissão Medida Provisória","MPV48110"
"1108",100749,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100749","MPV48210","Dispõe sobre medidas de suspensão de concessões ou outras obrigações do País relativas aos direitos de propriedade intelectual e outros, em casos de descumprimento de obrigações do Acordo Constitutivo da Organização Mundial do Comércio - OMC.","MPV48210",9,"Comissão Medida Provisória","MPV48210"
"1109",100750,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100750","FENAPEX","Federação Nacional da Publicidade Exterior","",70000,"Sociedade Civil",""
